"Issue Type","Summary","Epic Name","Epic Link","Priority","Labels","Start Date","Due Date","Description","Acceptance Criteria"
"Epic","Milestone 1: Initial Release - Core GC Analyzer","Milestone 1: Initial Release - Core GC Analyzer","","High","milestone;initial-release","2026-06-17","2026-06-17","Initial commit establishing GC Analyzer: baseline fleet monitoring app with performance and logo optimizations. Commit: d13dade.",""
"Story","SSH-based GC log collection service","","Milestone 1: Initial Release - Core GC Analyzer","Medium","backend;collection","","","Implemented gcanalyzer/collector.py to connect to Kafka broker/controller and ZooKeeper hosts over SSH and pull GC log files (kafkaServer-gc.log and rotated variants) for local parsing, removing the need for manual log retrieval.","- Collector connects to remote hosts via SSH using per-node config (host/user/key) defined in cluster YAML
- Retrieves current + rotated GC log files (.log, .log.0-.4) for broker, controller, and ZooKeeper roles
- SSH/auth/network failures are surfaced rather than silently swallowed
- Sample log fixtures (samples/*.log) exist for local testing without live SSH access"
"Story","GC log parsing engine for Kafka & ZooKeeper","","Milestone 1: Initial Release - Core GC Analyzer","Medium","backend;parsing","","","gcanalyzer/parser.py parses raw JVM GC log lines (young/mixed/full GC, pause times, heap before/after) from Kafka 2.8.1-style unified logs and ZooKeeper logs into structured metric events.","- Parses young, mixed, and Full GC events with timestamp, pause duration, and heap before/after
- Handles both broker/controller and ZooKeeper log formats
- Unit tests (tests/test_pipeline.py) validate parsing against sample logs
- Malformed or partial log lines are skipped without crashing the pipeline"
"Story","GC event analysis & fleet health scoring engine","","Milestone 1: Initial Release - Core GC Analyzer","High","backend;analytics","","","gcanalyzer/analyzer.py and gcanalyzer/store.py aggregate parsed GC metrics into per-instance windows and compute a health score (healthy/watch/critical) plus derived findings (throughput %, p99 pause, Full GC count).","- score_health() classifies an instance's rolling-window metrics into a health tier
- derive_findings() surfaces human-readable issues (e.g. high pause p99, frequent Full GCs)
- Metrics persist to a local SQLite-backed store (store.py) for later trend queries
- Covered by tests/test_fleet.py"
"Story","Multi-cluster fleet topology & YAML configuration","","Milestone 1: Initial Release - Core GC Analyzer","High","backend;config","","","gcanalyzer/fleet.py and gcanalyzer/topology.py let operators describe one or more Kafka clusters (brokers, controllers, ZooKeeper nodes) via YAML (cluster.yaml, cluster.example.yaml, clusters/*.yaml) and build a live fleet tree combining config with latest health.","- Cluster YAML supports region/env/cluster grouping and per-node SSH connection details
- build_fleet()/build_cluster() assemble a tree of clusters -> nodes with current health per node
- Example and demo cluster YAML files (BLUE-PROD, ONPREM-PROD, demo, demo1, test-demo-cluster) ship as references
- Config changes are picked up without code changes (YAML-driven)"
"Story","FastAPI backend REST API with authentication","","Milestone 1: Initial Release - Core GC Analyzer","High","backend;api;auth","","","gcanalyzer/app.py exposes fleet/cluster/instance data over a REST API secured by gcanalyzer/auth.py and a users.json-backed user store (gcanalyzer/users.py), with session-based login.","- /api/login, /api/logout, /api/health, /api/me are public; all other /api/* routes require an authenticated session
- Role-based access: cluster mutation endpoints require an 'admin' role
- Session secret is stored outside version control (.session_secret, gitignored)
- API returns fleet/cluster/instance health and trend data consumed by both frontends"
"Story","Background ingestion scheduler","","Milestone 1: Initial Release - Core GC Analyzer","Medium","backend;scheduler","","","gcanalyzer/ingest.py and gcanalyzer/scheduler.py periodically re-run collection, parsing, and analysis across all configured clusters and record results, driven by gcanalyzer/config.py and gcanalyzer/service.py.","- Scheduler re-collects each configured cluster on a fixed interval without manual intervention
- Ingestion upserts instance topology and records new metric rows per run
- Can run as a standalone service (service.py) independent of the API process
- Covered by tests/test_pipeline.py"
"Story","Next.js web dashboard (fleet, cluster, instance views)","","Milestone 1: Initial Release - Core GC Analyzer","Medium","frontend;web","","","A modern web/ Next.js app (App Router) renders fleet overview, per-cluster, and per-instance views with heap/pause trend charts, backed by web/lib/api.ts calling the FastAPI backend.","- / , /cluster/[cluster], /instance/[id] routes render fleet, cluster, and instance detail views
- FleetOverview, ClusterView, InstanceView, TrendCharts, Sidebar, Header components compose the UI
- fleetContext.tsx provides shared fleet state across the app
- TypeScript types (web/lib/types.ts) mirror the backend API contract"
"Story","Legacy static dashboard, export tooling & local run scripts","","Milestone 1: Initial Release - Core GC Analyzer","Low","frontend;tooling","","","A self-contained vanilla-JS dashboard (frontend/index.html) plus export_static.py can snapshot the live dashboard to standalone HTML (cowork-dashboard.html, dashboard-preview.html) for sharing without a running server; run.sh/start-local.command and docker-compose.live.yml provide local/dev run paths.","- frontend/index.html renders fleet tree, health, and trend charts against the same API
- export_static.py produces a static HTML snapshot that opens standalone with no backend required
- run.sh / start-local.command start the app locally with one command
- docker-compose.live.yml brings up the app in containers for live/demo use"
"Story","Sample GC logs, seed data & initial automated test suite","","Milestone 1: Initial Release - Core GC Analyzer","Medium","testing;fixtures","","","Curated sample GC logs (samples/*.log) and seed/seed_history.py let the app be demoed with realistic historical data without live infrastructure; tests/test_fleet.py and tests/test_pipeline.py establish the initial automated test baseline.","- seed_history.py populates the store with representative multi-day metric history
- Sample logs cover broker, controller, and ZooKeeper roles
- Initial test suite passes (test_fleet.py, test_pipeline.py) in local dev with no CI dependency
- Serves as the fixture baseline all later fixes and tests build on"
