Linux 5.15.0-kafka-broker (broker-1) 	06/08/2026 	_x86_64_	(8 CPU)

       00:00:00  CPU     %user     %nice   %system   %iowait    %steal     %idle
       00:00:00 all      7.86      0.00      2.42      1.06      0.00     88.66
       00:10:00 all      6.78      0.00      1.59      0.80      0.00     90.83
       00:20:00 all      6.97      0.00      2.03      0.52      0.00     90.48
       00:30:00 all      8.06      0.00      2.00      1.14      0.00     88.80
       00:40:00 all      7.45      0.00      1.79      0.73      0.00     90.03
       00:50:00 all      6.50      0.00      2.41      0.71      0.00     90.38
       01:00:00 all      6.76      0.00      2.46      0.83      0.00     89.95
       01:10:00 all      8.18      0.00      1.69      0.95      0.00     89.18
       01:20:00 all      9.41      0.00      1.80      1.30      0.00     87.49
       01:30:00 all      7.14      0.00      2.27      0.76      0.00     89.83
       01:40:00 all      7.62      0.00      2.46      0.95      0.00     88.97
       01:50:00 all      7.25      0.00      2.24      0.69      0.00     89.82
       02:00:00 all      6.62      0.00      1.74      1.46      0.00     90.18
       02:10:00 all      6.71      0.00      2.06      0.73      0.00     90.50
       02:20:00 all      7.84      0.00      1.68      0.56      0.00     89.92
       02:30:00 all      8.57      0.00      1.64      1.08      0.00     88.71
       02:40:00 all      7.95      0.00      1.82      1.23      0.00     89.00
       02:50:00 all      8.88      0.00      1.85      1.42      0.00     87.85
       03:00:00 all      8.37      0.00      2.08      0.88      0.00     88.67
       03:10:00 all      8.71      0.00      1.94      1.08      0.00     88.27
       03:20:00 all      8.60      0.00      2.11      1.00      0.00     88.29
       03:30:00 all      9.22      0.00      1.94      1.16      0.00     87.68
       03:40:00 all      9.14      0.00      2.08      0.88      0.00     87.90
       03:50:00 all      7.33      0.00      1.95      0.67      0.00     90.05
       04:00:00 all      9.45      0.00      1.57      0.95      0.00     88.03
       04:10:00 all      6.56      0.00      1.95      0.64      0.00     90.85
       04:20:00 all      8.39      0.00      2.31      1.16      0.00     88.14
       04:30:00 all      8.64      0.00      1.77      0.68      0.00     88.91
       04:40:00 all      9.22      0.00      2.43      0.59      0.00     87.76
       04:50:00 all      9.14      0.00      2.44      1.30      0.00     87.12
       05:00:00 all      7.14      0.00      2.48      1.40      0.00     88.98
       05:10:00 all      6.75      0.00      2.05      0.94      0.00     90.26
       05:20:00 all      7.51      0.00      1.64      1.29      0.00     89.56
       05:30:00 all      9.35      0.00      1.72      0.59      0.00     88.34
       05:40:00 all      7.44      0.00      2.35      0.88      0.00     89.33
       05:50:00 all      8.11      0.00      2.11      1.00      0.00     88.78
       06:00:00 all      8.57      0.00      2.04      0.57      0.00     88.82
       06:10:00 all      8.95      0.00      1.98      1.40      0.00     87.67
       06:20:00 all      7.08      0.00      2.19      0.73      0.00     90.00
       06:30:00 all      7.25      0.00      2.03      0.70      0.00     90.02
       06:40:00 all      8.42      0.00      2.35      1.03      0.00     88.20
       06:50:00 all      7.44      0.00      1.72      1.42      0.00     89.42
       07:00:00 all      9.00      0.00      2.29      0.92      0.00     87.79
       07:10:00 all      9.41      0.00      2.01      0.62      0.00     87.96
       07:20:00 all      8.16      0.00      2.07      1.01      0.00     88.76
       07:30:00 all      6.69      0.00      1.96      1.45      0.00     89.90
       07:40:00 all      8.60      0.00      1.68      1.34      0.00     88.38
       07:50:00 all      9.18      0.00      2.20      1.30      0.00     87.32
       08:00:00 all      7.27      0.00      2.24      1.41      0.00     89.08
       08:10:00 all      8.80      0.00      2.22      0.91      0.00     88.07
       08:20:00 all      7.20      0.00      2.17      1.44      0.00     89.19
       08:30:00 all      8.60      0.00      2.48      1.26      0.00     87.66
       08:40:00 all      7.63      0.00      1.75      0.60      0.00     90.02
       08:50:00 all      8.93      0.00      2.10      0.58      0.00     88.39
       09:00:00 all      8.33      0.00      2.45      0.56      0.00     88.66
       09:10:00 all      7.35      0.00      1.80      1.22      0.00     89.63
       09:20:00 all      8.75      0.00      2.49      0.55      0.00     88.21
       09:30:00 all      8.07      0.00      2.22      1.44      0.00     88.27
       09:40:00 all      7.11      0.00      2.03      0.55      0.00     90.31
       09:50:00 all      8.83      0.00      2.50      1.03      0.00     87.64
       10:00:00 all      7.58      0.00      2.19      0.77      0.00     89.46
       10:10:00 all      9.25      0.00      1.54      1.38      0.00     87.83
       10:20:00 all      6.76      0.00      2.05      1.18      0.00     90.01
       10:30:00 all      6.72      0.00      2.31      0.62      0.00     90.35
       10:40:00 all      8.46      0.00      1.83      1.49      0.00     88.22
       10:50:00 all      6.74      0.00      2.06      0.58      0.00     90.62
       11:00:00 all      6.75      0.00      2.22      0.80      0.00     90.23
       11:10:00 all      8.63      0.00      2.42      1.07      0.00     87.88
       11:20:00 all      9.30      0.00      1.75      1.39      0.00     87.56
       11:30:00 all      8.89      0.00      2.34      1.04      0.00     87.73
       11:40:00 all      8.13      0.00      2.47      1.07      0.00     88.33
       11:50:00 all      8.71      0.00      1.58      1.40      0.00     88.31
       12:00:00 all      8.06      0.00      1.89      1.26      0.00     88.79
       12:10:00 all      9.24      0.00      2.33      0.91      0.00     87.52
       12:20:00 all      8.07      0.00      2.30      1.21      0.00     88.42
